Feature,F_score,p_value
PL_CTD_75,13.317333046196733,9.901928322336916e-20
PL_CTDD_25,13.30226113936209,1.0453990489534805e-19
PL_CKSAAP_211,13.295678366928763,1.0704685108798926e-19
PL_CTD_176,13.286682225852692,1.1057058669209564e-19
PL_CKSAAP_255,13.280219723050337,1.1317342393944338e-19
PL_CKSAAP_358,13.276033190507274,1.1489226835072872e-19
PL_CTD_262,13.269622944302803,1.1757491375753377e-19
HS.1,13.256559800075628,1.23237592917645e-19
PL_AAIndex1_491,13.244507977440938,1.2870393819007913e-19
W,13.234520460177922,1.3341760642371846e-19
PL_AAIndex1_384,13.223564670995895,1.3878743269625052e-19
IC,13.213686639167568,1.4381441496475804e-19
PL_AAIndex1_170,13.199081854773675,1.5158307158974732e-19
PL_CKSAAP_58,13.184239303967143,1.5990914298772954e-19
PL_CTD_271,13.180891732091748,1.618494463148817e-19
PL_CKSAAP_85,13.177331482850606,1.6393891121899592e-19
PL_CKSAAP_11,13.160083629010778,1.7445049036334306e-19
PL_CKSAAP_253,13.118093650410076,2.0295188417809264e-19
GFD,13.107778721668074,2.1063980129656603e-19
PL_CTDD_73,13.10217822169859,2.1493548790100963e-19
PL_CTDD_123,13.10217822169859,2.1493548790100963e-19
PL_CTD_127,13.08002743162254,2.328031647733672e-19
PL_CTD_40,13.073282548452944,2.385339233289359e-19
PL_CTD_187,13.072750755709805,2.389917247469513e-19
PL_CKSAAP_218,13.048654814396674,2.606854753587878e-19
PL_CKSAAP_344,13.04285413813736,2.6619601177153627e-19
PL_CTDD_170,13.023629369098355,2.8530730706309984e-19
PL_AAIndex1_202,12.99907863023449,3.117251673227613e-19
PL_CTDD_41,12.966645536365473,3.5041956910839206e-19
PL_AAIndex1_411,12.959694357887017,3.593196458816555e-19
PL_QSO_SW_16,12.948805085168726,3.7371940845476786e-19
PL_AAIndex1_416,12.930189972260607,3.9968740537713014e-19
PL_CTD_31,12.928024516280052,4.028232618456683e-19
PL_CKSAAP_64,12.894387665196437,4.548229273568117e-19
ET,12.887861803825222,4.656647906309495e-19
PL_AAIndex1_422,12.88776249401598,4.658317655097768e-19
PL_CKSAAP_27,12.882650793906787,4.745078352675301e-19
PL_CTD_227,12.869851943096535,4.9694809800691e-19
FW,12.858314176640572,5.180871885730017e-19
PL_CKSAAP_63,12.810204420004926,6.163911194075658e-19
PL_CKSAAP_251,12.801969568456917,6.350004135716922e-19
SS,12.786109766654654,6.724415356422998e-19
PL_CTD_298,12.78018714876822,6.869837691107402e-19
VA,12.775560987341256,6.9856154415125045e-19
PL_CTD_231,12.774048653244558,7.023886619924459e-19
WP,12.764818732919103,7.262055165813159e-19
PL_AAIndex1_338,12.764023953510671,7.282938121471354e-19
PL_AAIndex1_400,12.732835480156108,8.151717528323741e-19
PL_CKSAAP_32,12.67828169547536,9.92845496119212e-19
CL,12.668311025157937,1.0292854441340934e-18
PL_CTDD_164,12.660857738589486,1.0573975771990014e-18
PL_CKSAAP_393,12.66003723197867,1.0605389695205255e-18
PL_CTD_234,12.655758475655494,1.0770727583788259e-18
PL_CKSAAP_173,12.643315898857198,1.1266348164088885e-18
PL_CTD_44,12.632150330960078,1.1730523614502887e-18
PL_CKSAAP_259,12.61747620330789,1.2369819026957744e-18
PL_CTD_302,12.590982199326893,1.361376160073441e-18
PL_CKSAAP_151,12.582309439222058,1.4047602540747764e-18
PL_CTDD_19,12.576984218081774,1.4320823682259303e-18
PL_CKSAAP_12,12.568309600646868,1.4777338311469128e-18
GGH,12.559232159600054,1.5270670436607945e-18
PL_CTD_219,12.553771883986267,1.557533290792923e-18
PL_CKSAAP_302,12.55331692149682,1.5600991231982526e-18
PL_CTDD_134,12.534755617584793,1.6684692868441921e-18
RD,12.526304494996422,1.720279097109204e-18
PL_CTD_108,12.522826649539487,1.7420654014534762e-18
PL_CTD_195,12.516154872425313,1.7846362225691725e-18
PL_CTD_135,12.51403334772338,1.7983902883014246e-18
PL_CKSAAP_272,12.506215932576168,1.8499943360717766e-18
PL_CKSAAP_318,12.499480928483198,1.8956412112704633e-18
PL_CKSAAP_146,12.496904783732685,1.913398009887981e-18
PL_CTD_10,12.477145796581356,2.055249961639222e-18
PL_CTD_15,12.473996890109357,2.078810038865381e-18
PL_CKSAAP_103,12.463428754633274,2.1598763800740455e-18
PL_CKSAAP_234,12.454076035540076,2.2342572240681266e-18
PL_CKSAAP_95,12.452580145212837,2.2463895996169776e-18
PL_AAIndex1_137,12.427535842510151,2.4595985595012235e-18
PL_CTD_129,12.41571711074237,2.5671422701617264e-18
PL_CTD_3,12.402413645380353,2.693842183410235e-18
PL_CTD_283,12.392975092824255,2.7875144293823414e-18
PL_CKSAAP_335,12.384550527806184,2.8738761325621524e-18
VSTPV2,12.352565703119103,3.2268821144519623e-18
PL_CTD_81,12.34713157011968,3.2910349597840543e-18
PL_AAIndex1_542,12.331154705943279,3.487146705183696e-18
PL_CKSAAP_137,12.316142294455176,3.682076321416864e-18
BLOSUM9,12.313658567184705,3.7153628521121535e-18
PL_CKSAAP_94,12.29331393620946,3.999615885861351e-18
PL_AAIndex1_429,12.28713696771382,4.090157201605334e-18
PL_CTDD_79,12.262581069172974,4.470863181135026e-18
PL_CTDD_189,12.262581069172974,4.470863181135026e-18
PL_CTD_280,12.254902799021895,4.597040336090305e-18
PL_CKSAAP_82,12.24603999896836,4.7471245186430176e-18
PL_CTDD_167,12.232103775334878,4.9931124900519965e-18
PL_CKSAAP_6,12.194318973776184,5.7262199074713535e-18
DGF,12.188495112561323,5.848434395637644e-18
PL_CTD_0,12.186044878048964,5.900630607022453e-18
PL_CTDD_43,12.169070204589591,6.2752778844662475e-18
PL_CTD_217,12.152317644284548,6.66838116241747e-18
EE,12.14828409503402,6.76665734367244e-18
HFF,12.118572876543833,7.53669673591553e-18
PL_CKSAAP_46,12.10126284657158,8.025185347056106e-18
SSG,12.085823013425612,8.487598267485791e-18
S,12.071902237119225,8.927355433951743e-18
PL_CTDT_19,12.065641785107355,9.132493984509859e-18
FC,12.060153901896683,9.316197610357082e-18
PL_CTD_98,12.057188631099692,9.416993946058702e-18
PL_CKSAAP_19,12.023243773575986,1.0651706205681573e-17
PL_CTDD_29,12.022822147890057,1.0668020758787469e-17
PL_AAIndex1_366,12.017339347735652,1.0882467529520502e-17
PL_CKSAAP_171,11.995995494118203,1.1759213476046177e-17
PL_CTD_120,11.99067680340836,1.1988488740541289e-17
PL_CTD_140,11.980952917088448,1.241930018021667e-17
Helix,11.980861648853159,1.2423416371712585e-17
PL_CKSAAP_209,11.97481086583849,1.2699376848496392e-17
PL_CTDT_23,11.959454662433838,1.3427615153572376e-17
ED,11.942077351448319,1.4302280811188663e-17
PL_CKSAAP_44,11.92565146431068,1.5181469365840556e-17
PL_CKSAAP_25,11.917726412704095,1.5624814790526098e-17
PL_AAIndex1_312,11.913556227257445,1.586328823081163e-17
PL_CTD_101,11.912650619434855,1.5915555629585908e-17
PL_CKSAAP_261,11.904017207800127,1.6422578045804348e-17
RH,11.890962314377209,1.7220162481300944e-17
PL_CTD_240,11.874990778241246,1.8248901878125074e-17
PL_CTDT_18,11.850592825112122,1.9940489677875787e-17
PL_CKSAAP_66,11.842436088694173,2.0540361866653435e-17
PL_CKSAAP_75,11.840099593129116,2.0715502102697434e-17
SFG,11.830404239992538,2.1458376762451675e-17
PL_CKSAAP_250,11.815279234186894,2.2670922869024535e-17
QC,11.803773637031698,2.3639065940725285e-17
PL_CKSAAP_269,11.791817124045643,2.4689055464876256e-17
PP3,11.739890724891518,2.981872727766589e-17
VI,11.736569285267283,3.018102895866257e-17
GD,11.725345879834162,3.1438212956598874e-17
PL_CKSAAP_238,11.716588452225407,3.245549461302138e-17
PL_AAIndex1_471,11.704213926647592,3.394940740137617e-17
PL_CTD_167,11.703359233378311,3.4055097440433625e-17
PL_CTDD_152,11.685986159607095,3.627631364070021e-17
FGS,11.682746323140007,3.670631783203937e-17
PL_CKSAAP_202,11.678523069015439,3.727451930773888e-17
CH,11.676945130510386,3.7489070395343153e-17
PL_CTDD_176,11.667556433007134,3.879146401549097e-17
PL_CKSAAP_294,11.666592479511545,3.892772207460406e-17
PL_CKSAAP_96,11.665074832234575,3.914321874797502e-17
PL_CKSAAP_215,11.65196914459213,4.105456593105252e-17
PL_CKSAAP_220,11.633409042732586,4.3922411256369205e-17
PL_CTD_156,11.622298363328207,4.573433685859475e-17
PL_CKSAAP_271,11.617297027478893,4.6574206343969923e-17
PL_CTDD_166,11.591568432911465,5.114523406015526e-17
N,11.581914824919089,5.297398021329061e-17
PL_CTD_7,11.56692992801885,5.594325662064437e-17
PL_CKSAAP_331,11.551606042470082,5.915218149329315e-17
SD,11.540099033389879,6.168246052319812e-17
PL_CTD_93,11.51424410492229,6.777022136859814e-17
PL_CTD_232,11.503922540030485,7.036540376068331e-17
PL_CKSAAP_222,11.485545581919897,7.523481297411195e-17
PL_CKSAAP_314,11.471190195756312,7.927225840603614e-17
PL_CKSAAP_195,11.468217574759656,8.013505178797964e-17
PL_CKSAAP_93,11.46716955883596,8.04414720910381e-17
PL_AAIndex1_395,11.442534082157794,8.799236382690999e-17
PL_AAIndex1_306,11.428127533280731,9.273287601824427e-17
PL_CTD_126,11.399718735682603,1.0284353528424732e-16
PL_CKSAAP_131,11.398410280848541,1.0333493428419638e-16
PF,11.396929859517801,1.0389375246834534e-16
TQ,11.384463386503798,1.0872117966747699e-16
PL_QSO_SW_20,11.374060386725265,1.1292108444050794e-16
PL_CTD_28,11.372982630338313,1.133653805906743e-16
FH,11.355352957592558,1.2088670920941704e-16
PL_CKSAAP_193,11.348834732368017,1.2379240830125783e-16
BLOSUM8,11.339062260754051,1.2828036367165632e-16
PL_CTDC_33,11.32727820745737,1.33909389170713e-16
PL_CTD_138,11.30546170736629,1.4499184287327316e-16
PL_CTDD_101,11.297254926611107,1.4939457911449028e-16
PL_CTD_311,11.295047078726249,1.5060172392725037e-16
PL_CKSAAP_84,11.290214660407122,1.5327805609979633e-16
GT,11.283279975834732,1.5720212084976475e-16
EG,11.268447850425627,1.6593605729524263e-16
PL_CTD_289,11.248796474888255,1.7826081936907806e-16
PL_CKSAAP_199,11.246297490733973,1.7989244141385245e-16
PL_CKSAAP_276,11.21821591367943,1.992885433912147e-16
PL_CKSAAP_396,11.216388542420587,2.006209819569289e-16
PL_CTD_165,11.214663088920231,2.01887294796022e-16
AE,11.209481667122978,2.0573826160675735e-16
PL_CTD_51,11.199575956203855,2.1330638970716718e-16
LE,11.191811321318635,2.1943311869133345e-16
PL_CKSAAP_364,11.184787120606396,2.2512729701775583e-16
GM,11.179773518734986,2.2928186395859924e-16
PL_CTDD_97,11.160499608230221,2.4598098720548453e-16
PL_CKSAAP_26,11.155969748529674,2.5007930235214276e-16
PL_CTD_137,11.116813595520396,2.884802480976214e-16
PL_CTD_170,11.104773055915782,3.0143623702850455e-16
PL_CKSAAP_106,11.095506541718883,3.118027525434661e-16
GH,11.080071718453505,3.2986847454118144e-16
PL_AAIndex1_305,11.07715939417292,3.333929698549178e-16
IA,11.074229579268152,3.369766851843515e-16
PL_CTD_99,11.065227468141625,3.4823113144203476e-16
PL_CTD_67,11.037275611537767,3.856324996355207e-16
PL_CTD_8,11.033028661244307,3.9165705755380177e-16
PL_CKSAAP_319,11.028996250032511,3.974644873432591e-16
FH.1,11.010159251342468,4.257566181030106e-16
PL_CTD_34,11.005424999118143,4.3317887220749987e-16
PL_CTDC_1,11.003757649870336,4.358236430739522e-16
PL_CTD_78,10.986335979498913,4.644441980527847e-16
GV,10.978272268242412,4.783212848619023e-16
SSD,10.958130484659076,5.148250402664056e-16
PL_CTD_276,10.95513011071287,5.204964857684495e-16
PL_CTD_261,10.943215548838813,5.43642256288736e-16
SGD,10.933561278079614,5.631509581609057e-16
PL_CTD_64,10.922922712947493,5.854615711920432e-16
PL_QSO_SW_11,10.92276030354167,5.858089390743629e-16
PL_CTDT_13,10.91581625822539,6.008558146173581e-16
PL_CKSAAP_252,10.909942619460065,6.138849964356997e-16
PL_CTD_25,10.902337453403593,6.31176354206806e-16
PL_CKSAAP_204,10.893537925827228,6.517927867661845e-16
PL_CTD_199,10.881125665158311,6.820250942766238e-16
PL_CKSAAP_230,10.878911415494057,6.875640586418803e-16
GHD,10.865444522890938,7.222351905234713e-16
PL_CKSAAP_373,10.825168474855117,8.36730948193811e-16
PL_CKSAAP_313,10.824334630980918,8.392842066769354e-16
PL_CTDD_56,10.81915845741005,8.553092882456947e-16
AL,10.812090390113555,8.776875394573406e-16
