Iteration 390, loss = 0.03429419
Iteration 391, loss = 0.03406905
Iteration 392, loss = 0.03384514
Iteration 393, loss = 0.03362228
Iteration 394, loss = 0.03340090
Iteration 395, loss = 0.03318197
Iteration 396, loss = 0.03296491
Iteration 397, loss = 0.03275012
Iteration 398, loss = 0.03253573
Iteration 399, loss = 0.03232285
Iteration 400, loss = 0.03211335
Iteration 401, loss = 0.03190368
Iteration 402, loss = 0.03169587
Iteration 403, loss = 0.03149024
Iteration 404, loss = 0.03128641
Iteration 405, loss = 0.03108421
Iteration 406, loss = 0.03088308
Iteration 407, loss = 0.03068415
Iteration 408, loss = 0.03048480
Iteration 409, loss = 0.03028844
Iteration 410, loss = 0.03009536
Iteration 411, loss = 0.02990365
Iteration 412, loss = 0.02971036
Iteration 413, loss = 0.02951873
Iteration 414, loss = 0.02933103
Iteration 415, loss = 0.02914266
Iteration 416, loss = 0.02895718
Iteration 417, loss = 0.02877450
Iteration 418, loss = 0.02859173
Iteration 419, loss = 0.02840844
Iteration 420, loss = 0.02822913
Iteration 421, loss = 0.02805031
Iteration 422, loss = 0.02787271
Iteration 423, loss = 0.02769720
Iteration 424, loss = 0.02752381
Iteration 425, loss = 0.02734963
Iteration 426, loss = 0.02717979
Iteration 427, loss = 0.02700854
Iteration 428, loss = 0.02683868
Iteration 429, loss = 0.02667330
Iteration 430, loss = 0.02650567
Iteration 431, loss = 0.02634036
Iteration 432, loss = 0.02617728
Iteration 433, loss = 0.02601437
Iteration 434, loss = 0.02585330
Iteration 435, loss = 0.02569306
Iteration 436, loss = 0.02553484
Iteration 437, loss = 0.02537821
Iteration 438, loss = 0.02522204
Iteration 439, loss = 0.02506831
Iteration 440, loss = 0.02491307
Iteration 441, loss = 0.02475992
Iteration 442, loss = 0.02461294
Iteration 443, loss = 0.02446110
Iteration 444, loss = 0.02431085
Iteration 445, loss = 0.02416437
Iteration 446, loss = 0.02401999
Iteration 447, loss = 0.02387366
Iteration 448, loss = 0.02372860
Iteration 449, loss = 0.02358556
Iteration 450, loss = 0.02344397
Iteration 451, loss = 0.02330367
Iteration 452, loss = 0.02316408
Iteration 453, loss = 0.02302584
Iteration 454, loss = 0.02288891
Iteration 455, loss = 0.02275414
Iteration 456, loss = 0.02261727
Iteration 457, loss = 0.02248532
Iteration 458, loss = 0.02235257
Iteration 459, loss = 0.02221992
Iteration 460, loss = 0.02208780
Iteration 461, loss = 0.02196035
Iteration 462, loss = 0.02183137
Iteration 463, loss = 0.02170285
Iteration 464, loss = 0.02157649
Iteration 465, loss = 0.02145100
Iteration 466, loss = 0.02132614
Iteration 467, loss = 0.02120220
Iteration 468, loss = 0.02108013
Iteration 469, loss = 0.02096083
Iteration 470, loss = 0.02083900
Iteration 471, loss = 0.02072235
Iteration 472, loss = 0.02060224
Iteration 473, loss = 0.02048263
Iteration 474, loss = 0.02036736
Iteration 475, loss = 0.02025540
Iteration 476, loss = 0.02013641
Iteration 477, loss = 0.02002305
Iteration 478, loss = 0.01991074
Iteration 479, loss = 0.01979725
Iteration 480, loss = 0.01968540
Iteration 481, loss = 0.01957695
Iteration 482, loss = 0.01946749
Iteration 483, loss = 0.01935786
Iteration 484, loss = 0.01925074
Iteration 485, loss = 0.01914357
Iteration 486, loss = 0.01903973
Iteration 487, loss = 0.01893405
Iteration 488, loss = 0.01882927
Iteration 489, loss = 0.01872613
Iteration 490, loss = 0.01862374
Iteration 491, loss = 0.01852261
Iteration 492, loss = 0.01842178
Iteration 493, loss = 0.01832177
Iteration 494, loss = 0.01822263
Iteration 495, loss = 0.01812509
Iteration 496, loss = 0.01802831
Iteration 497, loss = 0.01793161
Iteration 498, loss = 0.01783492
Iteration 499, loss = 0.01773890
Iteration 500, loss = 0.01764576
Submission saved to /home/secondbook5/JHU_Bioinformatics/ComputationalDrugDiscovery/ProtClassify/notebooks/Book_AJ_Week12/submission/Book_AJ_attempt_4.csv
Submission tracker updated at /home/secondbook5/JHU_Bioinformatics/ComputationalDrugDiscovery/ProtClassify/notebooks/Book_AJ_Week12/submission/submission_tracker.csv
